#Pessoas de 14 anos ou mais de idade ocupadas na semana de referência por nível de instrução segundo as Grandes Regiões as Unidades da Federação e os Municípios das Capitais - Brasil
Estado,Ano,Total Pessoas Ocupadas(1 000 pessoas),Sem instrução ou fundamental incompleto,Ensino fundamental completo ou médio incompleto,Ensino médio completo ou superior incompleto,Ensino superior completo
Santa Catarina,2020,3691,17.3,17.3,41.9,23.4
Rio Grande do Sul,2020,5521,20.1,16.4,40.9,22.7
Mato Grosso do Sul,2020,1267,24.2,16.3,36.7,22.7
Mato Grosso,2020,1654,23.4,18.4,38.0,20.2
Goiás,2020,3263,21.6,17.0,41.2,20.2
Distrito Federal,2020,1432,10.1,9.5,38.6,41.8
Rondônia,2019,815,32.6,16.6,35.5,15.3
Acre,2019,304,29.0,13.9,36.8,20.3
Amazonas,2019,1640,27.1,13.7,41.8,17.4
Roraima,2019,219,20.1,12.8,47.3,19.9
Pará,2019,3518,35.2,17.1,35.1,12.6
Amapá,2019,326,24.3,15.5,41.5,18.6
Tocantins,2019,652,28.2,13.7,39.5,18.7
Maranhão,2019,2271,32.2,15.9,39.1,12.7
Piauí,2019,1293,37.8,14.6,32.1,15.4
Ceará,2019,3697,30.7,15.4,38.6,15.2
Rio Grande do Norte,2019,1329,30.4,14.1,36.6,18.8
Paraíba,2019,1493,36.6,12.0,33.9,17.4
Pernambuco,2019,3576,29.3,12.7,41.0,17.0
Alagoas,2019,1041,36.3,14.2,34.1,15.4
Sergipe,2019,937,36.9,13.2,35.5,14.4
Bahia,2019,5954,31.8,13.9,39.8,14.5
Minas Gerais,2019,10270,27.6,16.3,39.1,17.1
Espírito Santo,2019,1963,27.3,14.5,38.5,19.7
Rio de Janeiro,2019,10900,14.2,11.6,42.9,31.3
São Paulo,2019,29230,15.6,13.8,43.2,27.5
Paraná,2019,5650,22.3,16.6,38.9,22.1
Santa Catarina,2019,3734,19.7,19.2,39.8,21.3
Rio Grande do Sul,2019,5788,23.6,17.4,39.6,19.4
Mato Grosso do Sul,2019,1345,28.2,16.8,34.9,20.1
Mato Grosso,2019,1694,26.7,18.3,37.4,17.5
Goiás,2019,3409,25.8,16.0,39.8,18.4
Distrito Federal,2019,1444,15.4,10.6,38.1,35.9
