#Taxa bruta de mortalidade por causas selecionadas e grupos de idade segundo Grandes Regiões Unidades da Federação e Municípios das Capitais - Brasil
Estado,Ano,Taxa Total Mortalidade,0 a 14 anos,15 a 29 anos,30 a 44 anos,45 a 59 anos,60 anos ou mais,60 a 69 anos,70 anos ou mais
Rio Grande do Norte,2022,7.07,0.95,1.56,2.23,5.67,34.17,13.81,57.33
Paraíba,2022,7.89,1.23,1.46,2.50,6.23,37.59,15.26,61.27
Pernambuco,2022,7.59,1.11,1.64,2.52,6.57,36.90,16.34,61.31
Alagoas,2022,7.18,1.15,1.79,2.57,6.89,37.27,17.90,61.93
Sergipe,2022,6.51,1.34,1.65,2.31,5.67,33.32,14.63,56.74
Bahia,2022,7.27,1.23,2.07,2.59,5.89,33.23,14.13,55.53
Minas Gerais,2022,7.68,0.97,1.10,2.09,5.77,32.96,14.37,55.72
Espírito Santo,2022,6.91,1.04,1.53,2.19,5.46,31.04,14.07,54.00
Rio de Janeiro,2022,8.76,1.05,1.58,2.28,6.27,36.20,17.07,60.20
São Paulo,2022,7.74,0.91,0.97,1.96,5.69,35.69,15.68,61.26
Paraná,2022,7.68,0.90,1.37,2.29,5.87,34.77,15.33,60.10
Santa Catarina,2022,6.58,0.89,0.92,1.68,5.17,31.75,14.06,56.31
Rio Grande do Sul,2022,9.28,0.88,1.17,2.14,6.10,37.09,15.79,63.19
Mato Grosso do Sul,2022,7.16,1.17,1.36,2.51,6.46,35.80,16.74,61.50
Mato Grosso,2022,5.84,1.41,1.60,2.33,5.82,30.97,15.05,54.89
Goiás,2022,6.56,1.09,1.34,2.30,5.69,32.94,15.17,57.32
Distrito Federal,2022,3.36,0.46,0.54,0.93,2.63,19.56,8.73,34.13
Rondônia,2021,8.12,1.08,1.70,3.60,9.88,44.03,24.89,73.17
Acre,2021,6.33,1.63,1.44,3.05,8.87,41.42,21.46,69.15
Amazonas,2021,6.99,1.42,2.03,3.51,9.30,47.40,25.80,80.15
Roraima,2021,6.57,2.15,2.17,3.74,10.19,41.98,24.87,70.07
Pará,2021,6.12,1.30,1.58,2.73,6.89,36.81,19.00,61.30
Amapá,2021,6.01,1.83,2.43,3.34,8.20,38.82,21.51,65.66
Tocantins,2021,7.44,1.19,1.70,3.31,8.12,39.49,19.71,64.08
Maranhão,2021,6.39,1.20,1.51,2.99,7.01,34.81,17.16,55.73
Piauí,2021,7.83,1.18,1.52,3.00,7.08,37.37,16.81,60.26
Ceará,2021,8.07,0.93,1.85,3.04,7.62,39.38,17.62,63.08
Rio Grande do Norte,2021,7.83,0.98,1.64,2.92,7.48,37.14,16.71,59.93
Paraíba,2021,8.48,1.08,1.51,3.23,8.16,39.24,17.76,61.79
Pernambuco,2021,8.52,1.01,1.68,3.15,8.45,41.46,20.34,66.37
Alagoas,2021,7.80,1.19,1.76,3.07,8.57,40.24,21.31,64.40
Sergipe,2021,7.36,1.18,1.66,2.95,7.77,37.55,18.70,61.11
Bahia,2021,7.80,1.20,2.15,3.08,7.36,35.29,16.65,56.91
Minas Gerais,2021,9.00,0.89,1.14,2.79,8.19,38.15,18.88,61.89
Espírito Santo,2021,8.14,1.04,1.45,2.63,7.49,37.12,18.68,62.32
Rio de Janeiro,2021,10.99,1.00,1.82,3.25,9.26,45.07,23.36,72.54
São Paulo,2021,9.45,0.81,1.11,2.95,9.00,41.96,21.69,68.03
Paraná,2021,9.68,0.81,1.55,3.48,9.65,42.05,21.66,68.79
Santa Catarina,2021,7.81,0.81,1.06,2.29,7.50,36.84,18.65,62.25
Rio Grande do Sul,2021,10.48,0.83,1.23,2.90,8.45,41.12,20.18,66.99
Mato Grosso do Sul,2021,8.85,1.01,1.45,3.65,10.13,42.79,23.02,69.49
Mato Grosso,2021,7.81,1.22,1.63,3.65,9.78,40.82,22.69,68.13
Goiás,2021,8.51,1.03,1.57,3.53,9.43,41.10,21.60,67.86
Distrito Federal,2021,4.64,0.50,0.71,1.62,4.87,25.86,13.41,42.82
Rondônia,2020,5.97,1.15,1.32,2.54,6.57,33.96,17.19,59.40
Acre,2020,5.63,1.43,1.57,2.68,6.70,38.95,20.08,65.10
Amazonas,2020,6.01,1.28,1.63,2.62,7.29,44.33,21.97,77.77
Roraima,2020,5.59,1.98,1.75,2.92,7.68,39.09,20.58,69.57
Pará,2020,6.10,1.29,1.60,2.53,6.42,38.92,18.71,66.64
Amapá,2020,5.88,1.53,2.22,3.05,7.77,42.16,21.57,73.75
Tocantins,2020,6.03,1.04,1.61,2.55,5.83,33.58,15.49,56.06
Maranhão,2020,6.21,1.15,1.57,2.69,6.36,35.55,16.74,57.70
Piau,2020í,7.09,1.21,1.48,2.53,6.02,35.13,15.19,57.32
Ceará,2020,7.65,1.01,1.99,2.75,6.43,38.82,16.24,63.15
Rio Grande do Norte,2020,7.24,0.93,1.73,2.45,6.43,36.07,15.32,58.86
Paraíba,2020,7.65,1.05,1.37,2.60,6.72,37.34,15.99,59.58
Pernambuco,2020,8.11,0.99,1.78,2.80,7.44,41.16,19.29,66.80
Alagoas,2020,7.51,1.05,1.84,2.87,7.87,40.60,20.37,66.45
Sergipe,2020,7.01,1.27,1.77,2.63,6.88,37.35,18.01,61.46
Bahia,2020,7.27,1.15,2.10,2.71,6.53,34.32,15.83,55.64
Minas Gerais,2020,7.23,0.88,1.06,2.12,6.01,31.99,14.63,53.48
Espírito Santo,2020,7.28,0.90,1.57,2.31,6.47,34.06,16.57,58.10
Rio de Janeiro,2020,10.00,1.01,1.74,2.77,8.02,42.40,21.49,68.98
São Paulo,2020,7.68,0.78,1.01,2.07,6.40,36.35,17.38,60.91
Paraná,2020,7.14,0.81,1.28,2.18,5.98,33.39,15.92,56.45
Santa Catarina,2020,6.16,0.81,0.92,1.59,5.41,30.49,14.37,53.18
Rio Grande do Sul,2020,8.27,0.73,1.14,2.04,5.97,34.04,15.80,56.81
Mato Grosso do Sul,2020,6.79,1.00,1.20,2.45,6.48,35.43,16.98,60.32
Mato Grosso,2020,6.48,1.18,1.60,2.62,7.04,36.49,18.53,63.53
Goiás,2020,6.85,0.96,1.56,2.43,6.35,35.80,17.43,61.01
Distrito Federal,2020,3.82,0.39,0.74,1.02,3.34,23.59,10.96,40.92
Rondônia,2019,4.87,1.07,1.19,2.08,5.11,28.72,13.77,51.42
Acre,2019,4.78,1.54,1.50,2.19,5.87,32.49,15.51,55.98
Amazonas,2019,4.50,1.48,1.76,2.22,5.12,30.33,14.59,53.64
Roraima,2019,4.50,2.10,1.76,2.56,5.71,29.09,14.75,52.84
Pará,2019,4.83,1.34,1.70,2.26,5.00,29.16,13.89,50.06
Amapá,2019,4.52,1.79,2.07,2.06,5.49,31.59,15.74,55.58
Tocantins,2019,5.26,1.17,1.47,2.24,5.04,29.54,13.20,49.89
Maranhão,2019,5.06,1.26,1.30,2.27,5.16,28.78,13.36,46.87
Piauí,2019,6.18,1.26,1.31,2.31,5.22,31.02,12.84,51.33
Ceará,2019,6.26,1.13,1.37,2.13,5.30,32.73,13.44,53.46
Rio Grande do Norte,2019,6.42,1.04,1.70,2.13,5.50,32.62,13.68,53.26
Paraíba,2019,6.78,1.16,1.25,2.22,5.74,33.81,14.50,53.88
Pernambuco,2019,6.84,1.07,1.63,2.41,6.20,35.06,15.75,57.66
Alagoas,2019,6.32,1.23,1.66,2.33,6.34,34.89,16.69,58.24
Sergipe,2019,6.01,1.41,1.73,2.36,5.45,32.52,14.79,54.65
Bahia,2019,6.35,1.28,1.91,2.38,5.64,30.41,13.79,49.54
Minas Gerais,2019,6.74,1.02,1.04,2.03,5.62,30.36,13.54,51.28
Espírito Santo,2019,6.15,1.00,1.46,1.93,5.34,29.55,13.45,51.71
Rio de Janeiro,2019,8.41,1.14,1.80,2.30,6.49,36.10,17.47,59.88
São Paulo,2019,6.76,0.95,0.93,1.74,5.52,32.81,15.02,56.00
Paraná,2019,6.50,0.93,1.22,1.92,5.31,31.25,14.16,53.99
Santa Catarina,2019,5.71,0.88,0.92,1.53,4.90,28.90,13.30,51.07
Rio Grande do Sul,2019,7.97,0.94,1.13,1.95,5.66,33.60,15.17,56.90
Mato Grosso do Sul,2019,6.06,1.08,1.22,2.07,5.81,32.07,14.83,55.31
Mato Grosso,2019,5.16,1.26,1.37,2.15,5.47,29.16,14.62,51.07
Goiás,2019,5.88,1.16,1.46,2.14,5.33,30.99,14.38,53.79
Distrito Federal,2019,3.10,0.54,0.72,0.88,2.65,19.27,8.30,34.51
